Data,Estoque líquido de capital fixo - construção (preços 2010) - R$ de 2010 - Instituto de Pesquisa Econômica Aplicada - DIMAC_ECFLIQCONSTTOT,
1947,190655.292375287,
1948,202508.350077945,
1949,217333.242157579,
1950,232877.801889722,
1951,255277.304801201,
1952,279218.571598988,
1953,308175.090809102,
1954,337245.305419904,
1955,362102.896782513,
1956,393137.482451886,
1957,425214.815855514,
1958,467132.088566151,
1959,513772.401481188,
1960,563966.00679388,
1961,598781.72236418,
1962,653710.237723482,
1963,710180.458781281,
1964,762548.07809081,
1965,810238.86504358,
1966,863297.314779479,
1967,916207.190896169,
1968,983142.895949799,
1969,1060010.32086308,
1970,1149147.78591148,
1971,1254652.30999027,
1972,1380473.44941864,
1973,1536764.43113642,
1974,1714377.13611206,
1975,1907353.36861335,
1976,2116541.11029341,
1977,2318213.35070299,
1978,2534859.40694032,
1979,2755739.13380962,
1980,3017067.00867226,
1981,3226766.77609313,
1982,3405993.55613778,
1983,3537378.41847466,
1984,3658274.96793866,
1985,3799125.28930008,
1986,4002332.68411519,
1987,4193076.57837158,
1988,4363469.54977332,
1989,4532649.72431482,
1990,4664396.41862331,
1991,4782146.58522158,
1992,4879149.90415669,
1993,4984414.32371892,
1994,5101688.21675297,
1995,5237995.97235393,
1996,5370309.20861707,
1997,5513762.80209945,
1998,5656166.83373705,
1999,5792486.58779421,
2000,5899305.42246968,
2001,6000846.22352563,
2002,6098524.41582601,
2003,6172460.00795063,
2004,6261937.06181048,
2005,6344077.42160595,
2006,6428173.06422105,
2007,6529451.68540568,
2008,6647965.94362564,
2009,6773699.30541316,
2010,6930862.75002851,
2011,7102235.53510611,
2012,7283723.05855449,
2013,7469859.82561107,
2014,7640474.20151994,
2015,7751228.17009106,
2016,7806241.86849827,
2017,7820758.2968949,
2018,7813724.30644261,
2019,7827728.36985003,
